MinutesPlayed,Tackles,MissedTackles,Carries,MetersGained,CleanBreaks,DefendersBeaten,Offloads,TurnoversWon,TurnoversConceded,PenaltiesConceded,Tries,Conversions,PenaltyGoals,DropGoals,YellowCards,RedCards,Points,MatchID,Team,PlayerID,PlayerName,Position
74,19,1,8,64,1,0,1,0,0,1,0,0,0,0,0,0,0,M001,Bulls,BUL_04,Bulls Player 04,Lock
48,19,1,9,0,0,1,0,1,0,0,0,0,0,0,1,0,0,M001,Bulls,BUL_01,Bulls Player 01,Loosehead Prop
76,0,2,1,21,1,4,1,0,0,0,1,0,0,0,0,0,5,M001,Bulls,BUL_09,Bulls Player 09,Scrum-half
60,8,2,12,48,0,0,1,2,0,1,0,0,0,0,0,0,0,M001,Bulls,BUL_08,Bulls Player 08,Number 8
71,8,2,13,24,2,0,1,1,0,1,1,0,0,0,0,0,5,M001,Bulls,BUL_22,Bulls Player 22,Openside Flanker
48,7,0,11,33,0,2,0,2,0,0,0,0,0,0,1,0,0,M001,Bulls,BUL_05,Bulls Player 05,Lock
53,4,1,4,50,1,6,1,0,0,0,0,2,0,0,0,0,4,M001,Bulls,BUL_25,Bulls Player 25,Fly-half
67,13,1,11,0,0,2,0,2,1,2,0,0,0,0,0,0,0,M001,Bulls,BUL_18,Bulls Player 18,Tighthead Prop
80,16,1,7,41,0,2,0,1,0,0,0,1,0,0,0,0,2,M001,Bulls,BUL_03,Bulls Player 03,Tighthead Prop
59,0,2,7,74,0,0,1,0,0,1,0,0,0,0,0,0,0,M001,Bulls,BUL_14,Bulls Player 14,Right Wing
70,3,4,8,25,2,1,1,1,0,1,0,0,0,0,0,0,0,M001,Bulls,BUL_24,Bulls Player 24,Scrum-half
72,6,2,7,75,1,5,0,3,1,0,0,1,3,0,0,0,11,M001,Bulls,BUL_15,Bulls Player 15,Fullback
63,15,3,7,1,0,2,0,1,2,1,1,0,0,0,0,0,5,M001,Bulls,BUL_02,Bulls Player 02,Hooker
59,7,3,11,9,0,1,0,2,1,1,0,0,0,0,0,0,0,M001,Bulls,BUL_19,Bulls Player 19,Lock
69,2,1,5,10,1,2,1,0,0,2,0,0,0,0,0,0,0,M001,Bulls,BUL_12,Bulls Player 12,Inside Centre
69,18,2,9,36,1,0,0,0,0,2,0,0,0,0,0,0,0,M001,Griffons,GRI_17,Griffons Player 17,Hooker
71,20,0,14,6,0,0,2,1,0,0,0,0,0,0,0,0,0,M001,Griffons,GRI_20,Griffons Player 20,Lock
66,12,5,10,47,0,1,1,1,0,2,0,0,0,0,0,0,0,M001,Griffons,GRI_01,Griffons Player 01,Loosehead Prop
63,13,2,7,9,0,2,2,1,1,0,0,0,0,1,0,0,3,M001,Griffons,GRI_18,Griffons Player 18,Tighthead Prop
76,14,1,8,52,1,2,2,1,1,0,0,0,0,0,0,0,0,M001,Griffons,GRI_07,Griffons Player 07,Openside Flanker
68,14,0,15,0,0,3,1,1,1,1,0,0,0,0,0,0,0,M001,Griffons,GRI_22,Griffons Player 22,Openside Flanker
59,9,1,4,61,1,1,0,0,0,0,1,2,0,0,0,0,9,M001,Griffons,GRI_14,Griffons Player 14,Right Wing
